nama_produk,harga,harga_original,diskon,rating,jumlah_review,jumlah_terjual,sumber
SENKA Senka Perfect Whip Low pH Calming Cica 100g,99000.0,99000.0,0.0,,0.0,,Watsons
HADA LABO Hada Labo Shirojyun Premium Ultimate Whitening Lotion 130ML,109000.0,109000.0,0.0,5.0,7.0,,Watsons
HADA LABO Gokujyun Cleansing Oil Make Up Remover 100M,72200.0,85000.0,15.0,5.0,15.0,,Watsons
SCORA Scora Gentle & Soothe Micellar Cleansing Water 100ml,23900.0,23900.0,0.0,5.0,6.0,,Watsons
SENKA Senka Perfect Whip Beauty Foam White 100g,76200.0,76200.0,0.0,5.0,12.0,,Watsons
SENKA Senka Perfect Whip Beauty Foam 50g,29400.0,42000.0,30.0,5.0,5.0,,Watsons
FACERINNA Facerinna 2% Niacinamide Power Bright Cleanser 120ml,44100.0,49000.0,10.0,,0.0,,Watsons
FACERINNA Facerinna Salicylic Acid Acne Gel Cleanser 120ml,41600.0,49000.0,15.0,,0.0,,Watsons
SENKA Senka Perfect Whip Beauty Foam Fresh 100g,63200.0,79000.0,20.0,5.0,28.0,,Watsons
NEUTROGENA Neutrogena Hydro Boost Water Gel Cleanser 145ml,153000.0,153000.0,0.0,4.0,1.0,,Watsons
SIMPLE Simple Kind To Skin Micellar Cleansing Water 200ml,99900.0,99900.0,0.0,,0.0,,Watsons
